year,exam_class_I,exam_class_II,exam_class_III,class_I_plus_II,all_exams_reported,comparability_note
1989,27243,37801,99914,65044,191642,"I+II+III制度下；all_exams还含其他考试"
1990,31422,38626,93202,70048,187340,"I+II+III制度下；all_exams还含其他考试"
1991,30102,40447,93231,70549,186979,"I+II+III制度下；all_exams还含其他考试"
1992,30789,47567,113210,78356,220830,"I+II+III制度下；all_exams还含其他考试"
1993,35887,61076,136733,96963,275836,"I+II+III制度下；all_exams还含其他考试"
1994,41433,76048,154286,117481,326143,"I+II+III制度下；all_exams还含其他考试"
1995,43431,80211,149737,123642,330686,"I+II+III制度下；all_exams还含其他考试"
1996,45254,78320,124107,123574,294469,"I+II+III制度下；all_exams还含其他考试"
1997,39863,68247,98506,108110,250844,"I+II+III制度下；all_exams还含其他考试"
1998,35754,64242,92586,99996,237630,"I+II+III制度下；all_exams还含其他考试"
1999,40535,72715,108995,113250,276607,"I+II+III制度下；all_exams还含其他考试"
2000,38841,71891,99589,110732,261002,"I+II+III制度下；all_exams还含其他考试"
2001,37346,69985,83632,107331,233829,"I+II+III制度下；all_exams还含其他考试"
2002,37163,68422,72439,105585,223363,"I+II+III制度下；all_exams还含其他考试"
2003,31911,71699,29575,103610,302300,"all_exams构成发生明显变化，不与此前总数直接比较"
2004,33385,69771,30090,103156,269648,"all_exams构成发生变化，不与此前总数直接比较"
2005,31112,61621,26370,92733,236317,"all_exams构成发生变化，不与此前总数直接比较"
2006,26268,47709,21358,73977,202018,"all_exams构成发生变化，不与此前总数直接比较"
2007,22435,38659,17313,61094,172268,"all_exams构成发生变化，不与此前总数直接比较"
2008,21200,35546,16119,56746,162867,"all_exams构成发生变化，不与此前总数直接比较"
2009,22186,39940,16417,62126,178285,"all_exams构成发生变化，不与此前总数直接比较"
2010,26888,48040,17311,74928,209266,"all_exams构成发生变化，不与此前总数直接比较"
2011,27567,46450,19667,74017,207673,"旧制度最后一年"
2012,,,,,177311,"改为综合职/一般职制度，不能与I/II/III简单拼接"
2013,,,,,148277,"新制度"
2014,,,,,139073,"新制度"
2015,,,,,132521,"新制度"
